Title,Release Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,URL,type
Three Thousand Years of Longing,2022,"['Romance', ' Drama', ' Fantasy']",6.7,1h 48min,A,"China, United Kingdom, Australia",['Amazon Prime Video'],https://www.justwatch.com/in/movie/three-thousand-years-of-longing,movie
Hanu-Man,2024,"['Fantasy', ' Action & Adventure', ' Comedy', ' Science-Fiction']",7.8,2h 39min,UA,India,['Jio Cinema'],https://www.justwatch.com/in/movie/hanu-man,movie
Trap,2024,"['Crime', ' Horror', ' Mystery & Thriller']",6.0,1h 45min,UA,United States,['Apple TV'],https://www.justwatch.com/in/movie/trap-2024,movie
Adbhut,2024,"['Mystery & Thriller', ' Drama']",5.3,2h 0min,UA,India,['Apple TV+'],https://www.justwatch.com/in/movie/adbhut,movie
Ruslaan,2024,"['Action & Adventure', ' Mystery & Thriller']",3.4,2h 20min,UA,India,['Jio Cinema'],https://www.justwatch.com/in/movie/ruslaan,movie
Bhimaa,2024,"['Fantasy', ' Action & Adventure']",5.2,2h 21min,UA,India,['VI movies and tv'],https://www.justwatch.com/in/movie/bhimaa,movie
The Substance,2024,"['Science-Fiction', ' Horror', ' Comedy', ' Drama']",7.9,2h 21min,UA,"United Kingdom, United States, France",['Apple TV+'],https://www.justwatch.com/in/movie/the-substance,movie
A Quiet Place: Day One,2024,"['Horror', ' Science-Fiction', ' Mystery & Thriller', ' Drama']",6.3,1h 39min,UA,"United Kingdom, Canada, United States",['Apple TV'],https://www.justwatch.com/in/movie/a-quiet-place-day-one,movie
From,2022,"['Science-Fiction', ' Mystery & Thriller', ' Drama', ' Horror']",7.7,50min,,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/from,tv_show
Taaza Khabar,2023,"['Science-Fiction', ' Mystery & Thriller', ' Action & Adventure', ' Comedy', ' Drama', ' Fantasy']",8.1,30min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/taaza-khabar,tv_show
The Penguin,2024,"['Drama', ' Fantasy', ' Crime']",8.8,1h 1min,,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-penguin,tv_show
Adam's Sweet Agony,2024,['Animation'],,3min,,Japan,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/adams-sweet-agony,tv_show
Call Me Bae,2024,"['Romance', ' Drama', ' Comedy']",6.2,39min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/call-me-bae,tv_show
The Lord of the Rings: The Rings of Power,2022,"['Action & Adventure', ' Science-Fiction', ' Drama', ' Fantasy']",6.9,1h 8min,,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-lord-of-the-rings-the-rings-of-power,tv_show
Gyaarah Gyaarah,2024,"['Drama', ' Fantasy', ' Science-Fiction']",8.2,44min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/gyaarah-gyaarah,tv_show
Shōgun,2024,"['War & Military', ' Drama', ' History']",8.6,59min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/shogun-2024,tv_show
The Old Man,2022,"['Action & Adventure', ' Drama', ' Mystery & Thriller']",7.6,53min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/the-old-man,tv_show
IC 814: The Kandahar Hijack,2024,"['Drama', ' History', ' Mystery & Thriller', ' War & Military']",5.6,38min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/ic-814,tv_show
Agatha All Along,2024,"['Science-Fiction', ' Action & Adventure', ' Mystery & Thriller', ' Comedy', ' Drama', ' Fantasy']",6.8,39min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/agatha-house-of-harkness,tv_show
House of the Dragon,2022,"['Action & Adventure', ' Science-Fiction', ' Drama', ' Fantasy', ' Romance']",8.4,1h 2min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/house-of-the-dragon,tv_show
Tulsa King,2022,"['Drama', ' Crime']",8.0,40min,,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/tulsa-king,tv_show
Nobody Wants This,2024,['Comedy'],8.2,26min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/nobody-wants-this,tv_show
Tell Me Lies,2022,['Drama'],6.7,50min,A,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/tell-me-lies,tv_show
Shekhar Home,2024,"['Crime', ' Drama']",8.2,42min,,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/shekhar-home,tv_show
The Perfect Couple,2024,"['Mystery & Thriller', ' Crime', ' Drama']",6.5,51min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/the-perfect-couple,tv_show
The Great Indian Kapil Show,2024,['Comedy'],6.8,57min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,tv_show
Farzi,2023,"['Crime', ' Drama', ' Mystery & Thriller']",8.3,56min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/farzi,tv_show
Slow Horses,2022,"['Crime', ' Drama', ' Comedy', ' Mystery & Thriller']",8.2,45min,A,United Kingdom,['Apple TV Plus'],https://www.justwatch.com/in/tv-show/slow-horses,tv_show
Monsters: The Lyle and Erik Menendez Story,2024,"['Drama', ' Crime', ' Horror', ' Mystery & Thriller']",7.9,52min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/monsters-the-lyle-and-erik-menendez-story,tv_show
Into the Fire: The Lost Daughter,2024,"['Crime', ' Documentary', ' Mystery & Thriller']",7.6,1h 16min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/into-the-fire-the-lost-daughter,tv_show
Love Next Door,2024,"['Drama', ' Comedy', ' Romance']",8.2,1h 20min,,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/moms-friends-son,tv_show
No Gain No Love,2024,"['Comedy', ' Romance', ' Drama']",7.9,1h 8min,,South Korea,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/no-gain-no-love,tv_show
Kaos,2024,"['Drama', ' Fantasy', ' Comedy', ' Science-Fiction']",7.5,50min,A,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/kaos,tv_show
The Bear,2022,"['Drama', ' Comedy']",8.6,34min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/the-bear,tv_show
Tanaav,2022,"['Drama', ' Crime']",,34min,,India,['Sony Liv'],https://www.justwatch.com/in/tv-show/tanaav,tv_show
Terminator Zero,2024,"['Science-Fiction', ' Animation', ' Action & Adventure']",7.0,28min,A,"United States, Japan",['Netflix'],https://www.justwatch.com/in/tv-show/terminator-zero,tv_show
Hidden Love,2023,['Drama'],,45min,,China,['Netflix'],https://www.justwatch.com/in/tv-show/hidden-love,tv_show
The Judge from Hell,2024,"['Crime', ' Comedy', ' Drama', ' Science-Fiction', ' Fantasy', ' Horror', ' Romance']",7.7,1h 7min,,South Korea,['Hotstar'],https://www.justwatch.com/in/tv-show/the-judge-from-hell,tv_show
Gyeongseong Creature,2023,"['Science-Fiction', ' Mystery & Thriller', ' Action & Adventure', ' Drama', ' History', ' Horror']",7.3,1h 1min,,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/gyeongseong-creature,tv_show
DAN DA DAN,2024,"['Animation', ' Action & Adventure', ' Comedy', ' Science-Fiction', ' Romance', ' Mystery & Thriller', ' Fantasy']",8.7,24min,,Japan,['Crunchyroll'],https://www.justwatch.com/in/tv-show/dan-da-dan,tv_show
The Frog,2024,"['Crime', ' Drama', ' Mystery & Thriller']",6.8,58min,A,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/the-frog-2024,tv_show
Fallout,2024,"['Science-Fiction', ' War & Military', ' Action & Adventure', ' Drama']",8.4,59min,A,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/fallout,tv_show
Heartstopper,2022,"['Drama', ' Romance']",8.6,33min,,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/heartstopper,tv_show
Mr. McMahon,2024,"['Documentary', ' Sport']",7.8,58min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/mr-mcmahon,tv_show
Tribhuvan Mishra CA Topper,2024,"['Drama', ' Mystery & Thriller', ' Comedy', ' Crime']",7.0,57min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper,tv_show
3 Body Problem,2024,"['Science-Fiction', ' Mystery & Thriller', ' Drama', ' Fantasy']",7.5,56min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/3-body-problem,tv_show
Murshid,2024,"['Mystery & Thriller', ' Crime']",7.4,34min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/murshid,tv_show
Inspector Avinash,2023,"['Action & Adventure', ' Crime', ' Mystery & Thriller']",7.7,41min,,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/inspector-avinash,tv_show
The Last of Us,2023,"['Drama', ' Horror', ' Science-Fiction', ' Mystery & Thriller', ' Action & Adventure']",8.7,58min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-last-of-us,tv_show
Life Hill Gayi,2024,"['Comedy', ' Romance']",6.5,34min,,India,['Hotstar'],https://www.justwatch.com/in/tv-show/life-hill-gayi,tv_show
Highway Love,2023,"['Romance', ' Comedy']",7.5,33min,,India,['MX Player'],https://www.justwatch.com/in/tv-show/highway-love,tv_show
English Teacher,2024,['Comedy'],7.1,23min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/english-teacher,tv_show
Heeramandi: The Diamond Bazaar,2024,"['Drama', ' History', ' Romance', ' War & Military']",6.4,54min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/heeramandi,tv_show
Twilight of the Gods,2024,"['Action & Adventure', ' Fantasy', ' Animation', ' Science-Fiction']",7.4,31min,A,"France, United States",['Netflix'],https://www.justwatch.com/in/tv-show/twilight-of-the-gods,tv_show
